Name,tag,Length,product,locus_tag
rimI CDS,SGL_RS08145,477,ribosomal protein S18-alanine N-acetyltransferase,slr0853
hypothetical protein CDS,SGL_RS18045,477,hypothetical protein,slr0456
universal stress protein CDS,SGL_RS03190,474,universal stress protein,sll1654
bfr CDS,SGL_RS05685,474,bacterioferritin,slr1890
M67 family metallopeptidase CDS,SGL_RS07290,474,M67 family metallopeptidase,sll0864
hydrogenase maturation protease CDS,SGL_RS07590,474,hydrogenase maturation protease,slr1876
CBS domain-containing protein CDS,SGL_RS09490,474,CBS domain-containing protein,slr2111
hypothetical protein CDS,SGL_RS09625,474,hypothetical protein,sll1240
DUF2996 domain-containing protein CDS,SGL_RS11830,474,DUF2996 domain-containing protein,sll0272
tsaE CDS,SGL_RS11950,474,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,sll0257
TspO/MBR family protein CDS,SGL_RS12425,474,TspO/MBR family protein,sll1845
FHA domain-containing protein CDS,SGL_RS12480,474,FHA domain-containing protein,slr1951
low molecular weight protein-tyrosine-phosphatase CDS,SGL_RS12590,474,low molecular weight protein-tyrosine-phosphatase,slr0328
RrF2 family transcriptional regulator CDS,SGL_RS15215,474,RrF2 family transcriptional regulator,slr0846
photosystem I reaction center protein subunit XI CDS,SGL_RS17820,474,photosystem I reaction center protein subunit XI,slr1655
tetratricopeptide repeat protein CDS,SGL_RS03455,471,tetratricopeptide repeat protein,sll0931
DUF29 domain-containing protein CDS,SGL_RS04485,471,DUF29 domain-containing protein,sll1749
hypothetical protein CDS,SGL_RS05115,471,hypothetical protein,slr1391
Dps family protein CDS,SGL_RS05855,471,Dps family protein,slr1894
rpsG CDS,SGL_RS10935,471,30S ribosomal protein S7,sll1097
hypothetical protein CDS,SGL_RS12130,471,hypothetical protein,slr0149
bfr CDS,SGL_RS17065,471,bacterioferritin,sll1341
IS701 family transposase CDS,SGL_RS18065,>471,IS701 family transposase,slr0460
transposase CDS,SGL_RS18695,469,transposase,
phosphate-starvation-inducible PsiE family protein CDS,SGL_RS02385,468,phosphate-starvation-inducible PsiE family protein,slr0732
chemotaxis protein CheW CDS,SGL_RS05085,468,chemotaxis protein CheW,sll1293
nitrate reductase associated protein CDS,SGL_RS06565,468,nitrate reductase associated protein,sll1455
hypothetical protein CDS,SGL_RS09265,468,hypothetical protein,sll1426
hypothetical protein CDS,SGL_RS11065,468,hypothetical protein,sll1086
hypothetical protein CDS,SGL_RS11765,468,hypothetical protein,sll0423
AbrB family transcriptional regulator CDS,SGL_RS12005,468,AbrB family transcriptional regulator,sll0359
CBS domain-containing protein CDS,SGL_RS12700,468,CBS domain-containing protein,slr0172
hypothetical protein CDS,SGL_RS15450,468,hypothetical protein,sll0481
DUF1348 family protein CDS,SGL_RS16170,468,DUF1348 family protein,sll0781
DUF3531 family protein CDS,SGL_RS05975,465,DUF3531 family protein,slr1195
rsfS CDS,SGL_RS07700,465,ribosome silencing factor,slr1886
DUF29 domain-containing protein CDS,SGL_RS07920,465,DUF29 domain-containing protein,slr1814
glutathione peroxidase CDS,SGL_RS08615,465,glutathione peroxidase,slr1992
universal stress protein CDS,SGL_RS10465,465,universal stress protein,sll1388
hypothetical protein CDS,SGL_RS11165,465,hypothetical protein,sll1562
smpB CDS,SGL_RS11585,465,SsrA-binding protein SmpB,slr1639
hypothetical protein CDS,SGL_RS11795,465,hypothetical protein,sll0419
ABA4-like family protein CDS,SGL_RS12070,465,ABA4-like family protein,sll0354
DUF3750 domain-containing protein CDS,SGL_RS12360,465,DUF3750 domain-containing protein,sll1853
IS4-like element IS4Sa family transposase CDS,SGL_RS13270,>465,IS4-like element IS4Sa family transposase,sll0317
accB CDS,SGL_RS13735,465,acetyl-CoA carboxylase biotin carboxyl carrier protein,slr0435
CYTH domain-containing protein CDS,SGL_RS16210,465,CYTH domain-containing protein,slr0698
GNAT family N-acetyltransferase CDS,SGL_RS17950,465,GNAT family N-acetyltransferase,sll0451
YbjN domain-containing protein CDS,SGL_RS05450,462,YbjN domain-containing protein,slr2025
cytochrome b CDS,SGL_RS06960,462,cytochrome b,slr1449
DUF29 domain-containing protein CDS,SGL_RS07905,462,DUF29 domain-containing protein,slr1811
DUF29 domain-containing protein CDS,SGL_RS07915,462,DUF29 domain-containing protein,slr1813
hypothetical protein CDS,SGL_RS09880,462,hypothetical protein,sll0812
trmL CDS,SGL_RS12495,462,tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL,slr0992
hypothetical protein CDS,SGL_RS04795,459,hypothetical protein,sll1832
aroQ CDS,SGL_RS06095,459,type II 3-dehydroquinate dehydratase,sll1112
hypothetical protein CDS,SGL_RS06900,459,hypothetical protein,slr1441
rplI CDS,SGL_RS10150,459,50S ribosomal protein L9,sll1244
NfeD family protein CDS,SGL_RS11300,459,NfeD family protein,slr0935
hypothetical protein CDS,SGL_RS12295,459,hypothetical protein,slr1928
hypothetical protein CDS,SGL_RS12740,459,hypothetical protein,sll0172
DNA-3-methyladenine glycosylase CDS,SGL_RS13655,459,DNA-3-methyladenine glycosylase,slr0231
ruvX CDS,SGL_RS17860,459,Holliday junction resolvase RuvX,sll1547
rimP CDS,SGL_RS02465,456,ribosome maturation factor RimP,slr0742
divergent PAP2 family protein CDS,SGL_RS05140,456,divergent PAP2 family protein,slr1394
rplM CDS,SGL_RS05720,456,50S ribosomal protein L13,sll1821
hypothetical protein CDS,SGL_RS19040,456,hypothetical protein,
RNA-binding protein CDS,SGL_RS14575,456,RNA-binding protein,slr0193
thiol-disulfide oxidoreductase DCC family protein CDS,SGL_RS14870,456,thiol-disulfide oxidoreductase DCC family protein,slr0919
pre-16S rRNA-processing nuclease YqgF CDS,SGL_RS15110,456,pre-16S rRNA-processing nuclease YqgF,sll0832
SRPBCC family protein CDS,SGL_RS18030,456,SRPBCC family protein,sll0436
SH3 domain-containing protein CDS,SGL_RS18100,456,SH3 domain-containing protein,slr1178
VOC family protein CDS,SGL_RS03015,453,VOC family protein,sll1675
pentapeptide repeat-containing protein CDS,SGL_RS03400,453,pentapeptide repeat-containing protein,slr0967
DUF29 domain-containing protein CDS,SGL_RS03565,453,DUF29 domain-containing protein,slr1611
DUF4351 domain-containing protein CDS,SGL_RS07965,453,DUF4351 domain-containing protein,sll1691
HNH endonuclease CDS,SGL_RS18825,453,HNH endonuclease,
IS4-like element IS4Sa family transposase CDS,SGL_RS09480,>453,IS4-like element IS4Sa family transposase,sll1997
DUF29 domain-containing protein CDS,SGL_RS09580,453,DUF29 domain-containing protein,slr2128
BLUF domain-containing protein CDS,SGL_RS11270,453,BLUF domain-containing protein,slr1694
folB CDS,SGL_RS11510,453,dihydroneopterin aldolase,slr1626
YraN family protein CDS,SGL_RS14555,453,YraN family protein,sll0189
group I intron-associated PD-(D/E)XK endonuclease CDS,SGL_RS14855,453,group I intron-associated PD-(D/E)XK endonuclease,slr0915
biopolymer transporter ExbD CDS,SGL_RS15480,453,biopolymer transporter ExbD,sll0479
TM2 domain-containing protein CDS,SGL_RS16755,453,TM2 domain-containing protein,sll0498
DUF4278 domain-containing protein CDS,SGL_RS04030,450,DUF4278 domain-containing protein,sll1515
YlqD family protein CDS,SGL_RS04085,450,YlqD family protein,slr1600
psbQ CDS,SGL_RS04410,450,photosystem II protein PsbQ,sll1638
hypothetical protein CDS,SGL_RS07120,450,hypothetical protein,sll1267
hypothetical protein CDS,SGL_RS08005,450,hypothetical protein,slr1732
type II toxin-antitoxin system VapC family toxin CDS,SGL_RS09730,450,type II toxin-antitoxin system VapC family toxin,sll1225
EVE domain-containing protein CDS,SGL_RS10495,450,EVE domain-containing protein,slr1468
ndk CDS,SGL_RS12365,450,nucleoside-diphosphate kinase,sll1852
cynS CDS,SGL_RS14780,450,cyanase,slr0899
NUDIX hydrolase CDS,SGL_RS14875,450,NUDIX hydrolase,slr0920
DUF29 domain-containing protein CDS,SGL_RS16415,450,DUF29 domain-containing protein,sll0742
DUF4278 domain-containing protein CDS,SGL_RS17665,450,DUF4278 domain-containing protein,sll0733
hypothetical protein CDS,SGL_RS04670,447,hypothetical protein,sll1934
VOC family protein CDS,SGL_RS04960,447,VOC family protein,sll0984
NUDIX hydrolase CDS,SGL_RS05525,447,NUDIX hydrolase,slr1134
hypothetical protein CDS,SGL_RS14275,447,hypothetical protein,sll0611
DUF2752 domain-containing protein CDS,SGL_RS15000,447,DUF2752 domain-containing protein,sll0543
DUF2214 family protein CDS,SGL_RS18160,447,DUF2214 family protein,slr1186
hypothetical protein CDS,SGL_RS05280,444,hypothetical protein,sll1573
rplO CDS,SGL_RS05765,444,50S ribosomal protein L15,sll1813
antibiotic biosynthesis monooxygenase CDS,SGL_RS07405,444,antibiotic biosynthesis monooxygenase,sll1783
DUF6335 family protein CDS,SGL_RS08900,444,DUF6335 family protein,sll0253
DUF29 domain-containing protein CDS,SGL_RS09975,444,DUF29 domain-containing protein,sll0802
secondary thiamine-phosphate synthase enzyme YjbQ CDS,SGL_RS10345,444,secondary thiamine-phosphate synthase enzyme YjbQ,sll1880
SRPBCC family protein CDS,SGL_RS11335,444,SRPBCC family protein,slr0941
response regulator CDS,SGL_RS14035,444,response regulator,slr0474
biopolymer transporter ExbD CDS,SGL_RS15485,444,biopolymer transporter ExbD,sll0478
hypothetical protein CDS,SGL_RS17595,444,hypothetical protein,sll1472
toxin-activating lysine-acyltransferase CDS,SGL_RS17785,444,toxin-activating lysine-acyltransferase,sll0720
hypothetical protein CDS,SGL_RS03740,441,hypothetical protein,slr1084
Hsp20/alpha crystallin family protein CDS,SGL_RS04040,441,Hsp20/alpha crystallin family protein,sll1514
DUF29 domain-containing protein CDS,SGL_RS06570,441,DUF29 domain-containing protein,
hypothetical protein CDS,SGL_RS10680,441,hypothetical protein,slr1273
hypothetical protein CDS,SGL_RS11465,441,hypothetical protein,slr0960
DUF29 family protein CDS,SGL_RS14405,441,DUF29 family protein,slr0416
hypothetical protein CDS,SGL_RS03525,438,hypothetical protein,slr0978
DUF1036 domain-containing protein CDS,SGL_RS04740,438,DUF1036 domain-containing protein,sll1837
DUF29 domain-containing protein CDS,SGL_RS06025,438,DUF29 domain-containing protein,slr1203
mscL CDS,SGL_RS07135,438,large conductance mechanosensitive channel protein MscL,slr0875
DUF29 domain-containing protein CDS,SGL_RS07960,438,DUF29 domain-containing protein,sll1692
hypothetical protein CDS,SGL_RS08705,438,hypothetical protein,sll1613
DUF86 domain-containing protein CDS,SGL_RS09420,438,DUF86 domain-containing protein,sll1411
molybdenum cofactor biosynthesis protein MoaE CDS,SGL_RS14805,438,molybdenum cofactor biosynthesis protein MoaE,slr0903
aspartate 1-decarboxylase CDS,SGL_RS14880,438,aspartate 1-decarboxylase,sll0892
hypothetical protein CDS,SGL_RS16235,438,hypothetical protein,sll0678
hypothetical protein CDS,SGL_RS17235,438,hypothetical protein,sll0630
PIN domain-containing protein CDS,SGL_RS17920,438,PIN domain-containing protein,sll1543
hypothetical protein CDS,SGL_RS04715,435,hypothetical protein,slr1907
grrA CDS,SGL_RS07620,435,GrrA/OscA1 family cyclophane-containing rSAM-modified RiPP,sll1764
"putative toxin-antitoxin system toxin component,PIN family CDS",SGL_RS09675,435,"putative toxin-antitoxin system toxin component,PIN family",slr1327
DUF29 domain-containing protein CDS,SGL_RS11930,435,DUF29 domain-containing protein,slr0291
gamma-glutamylcyclotransferase CDS,SGL_RS14100,435,gamma-glutamylcyclotransferase,slr0491
hypothetical protein CDS,SGL_RS15010,435,hypothetical protein,slr0573
"putative toxin-antitoxin system toxin component,PIN family CDS",SGL_RS17325,435,"putative toxin-antitoxin system toxin component,PIN family",sll0624
F0F1 ATP synthase subunit B' CDS,SGL_RS02690,432,F0F1 ATP synthase subunit B',sll1323
DUF29 domain-containing protein CDS,SGL_RS03530,432,DUF29 domain-containing protein,slr0980
hypothetical protein CDS,SGL_RS05675,432,hypothetical protein,sll1068
VOC family protein CDS,SGL_RS06880,432,VOC family protein,slr1440
anti-sigma regulatory factor CDS,SGL_RS07450,432,anti-sigma regulatory factor,slr1861
cupin domain-containing protein CDS,SGL_RS09205,432,cupin domain-containing protein,slr2101
sugar phosphate isomerase/epimerase CDS,SGL_RS09485,432,sugar phosphate isomerase/epimerase,slr2110
Mini-ribonuclease 3 CDS,SGL_RS11435,432,Mini-ribonuclease 3,slr0954
hypothetical protein CDS,SGL_RS12320,432,hypothetical protein,sll1862
hypothetical protein CDS,SGL_RS15580,432,hypothetical protein,sll0595
hypothetical protein CDS,SGL_RS04735,429,hypothetical protein,slr1911
ureE CDS,SGL_RS06645,429,urease accessory protein UreE,slr1219
GtrA family protein CDS,SGL_RS06765,429,GtrA family protein,sll1131
hypothetical protein CDS,SGL_RS07205,429,hypothetical protein,sll0871
hypothetical protein CDS,SGL_RS08140,429,hypothetical protein,slr0852
hypothetical protein CDS,SGL_RS09165,429,hypothetical protein,sll1979
hypothetical protein CDS,SGL_RS14535,429,hypothetical protein,sll0369
photosystem I reaction center subunit II CDS,SGL_RS02435,426,photosystem I reaction center subunit II,slr0737
rplK CDS,SGL_RS06210,426,50S ribosomal protein L11,sll1743
DUF29 family protein CDS,SGL_RS08015,426,DUF29 family protein,sll1630
hypothetical protein CDS,SGL_RS10040,426,hypothetical protein,slr1339
EVE domain-containing protein CDS,SGL_RS10210,426,EVE domain-containing protein,sll1897
FHA domain-containing protein CDS,SGL_RS11205,426,FHA domain-containing protein,slr1686
phasin family protein CDS,SGL_RS18040,426,phasin family protein,slr0455
hypothetical protein CDS,SGL_RS02495,423,hypothetical protein,slr0238
BlaI/MecI/CopY family transcriptional regulator CDS,SGL_RS02510,423,BlaI/MecI/CopY family transcriptional regulator,slr0240
crcB CDS,SGL_RS03285,423,fluoride efflux transporter CrcB,sll1192
TerB family tellurite resistance protein CDS,SGL_RS19775,423,TerB family tellurite resistance protein,
PPC domain-containing protein CDS,SGL_RS04595,423,PPC domain-containing protein,sll1940
hypothetical protein CDS,SGL_RS08505,423,hypothetical protein,sll1960
hypothetical protein CDS,SGL_RS13540,423,hypothetical protein,slr0217
hypothetical protein CDS,SGL_RS13775,423,hypothetical protein,sll0403
hypothetical protein CDS,SGL_RS13905,423,hypothetical protein,sll0062
hypothetical protein CDS,SGL_RS15635,423,hypothetical protein,sll0588
hypothetical protein CDS,SGL_RS16215,423,hypothetical protein,slr0699
rplP CDS,SGL_RS05815,420,50S ribosomal protein L16,sll1805
Fur family transcriptional regulator CDS,SGL_RS08080,420,Fur family transcriptional regulator,slr1738
NUDIX domain-containing protein CDS,SGL_RS11505,420,NUDIX domain-containing protein,sll1537
DUF2358 domain-containing protein CDS,SGL_RS11975,420,DUF2358 domain-containing protein,sll0364
hypothetical protein CDS,SGL_RS11995,420,hypothetical protein,sll0361
hypothetical protein CDS,SGL_RS12990,420,hypothetical protein,sll0328
hypothetical protein CDS,SGL_RS12995,420,hypothetical protein,sll0327
type II toxin-antitoxin system YhaV family toxin CDS,SGL_RS02350,417,type II toxin-antitoxin system YhaV family toxin,slr0725
Fur family transcriptional regulator CDS,SGL_RS04615,417,Fur family transcriptional regulator,sll1937
HNH endonuclease CDS,SGL_RS07780,417,HNH endonuclease,sll2007
hypothetical protein CDS,SGL_RS08355,417,hypothetical protein,sll1158
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase CDS",SGL_RS14660,417,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",slr0204
"L,D-transpeptidase CDS",SGL_RS16280,417,"L,D-transpeptidase",sll0670
FkbM family methyltransferase CDS,SGL_RS03650,414,FkbM family methyltransferase,slr1069
rpsI CDS,SGL_RS05715,414,30S ribosomal protein S9,sll1822
type II toxin-antitoxin system VapC family toxin CDS,SGL_RS06395,414,type II toxin-antitoxin system VapC family toxin,sll1715
MAPEG family protein CDS,SGL_RS08450,414,MAPEG family protein,sll1147
hypothetical protein CDS,SGL_RS10545,414,hypothetical protein,sll1381
hypothetical protein CDS,SGL_RS11850,414,hypothetical protein,sll0269
heavy metal-responsive transcriptional regulator CDS,SGL_RS16225,414,heavy metal-responsive transcriptional regulator,slr0701
queF CDS,SGL_RS16335,414,preQ(1) synthase,slr0711
mutT CDS,SGL_RS02290,411,8-oxo-dGTP diphosphatase MutT,sll1045
hypothetical protein CDS,SGL_RS03730,411,hypothetical protein,slr1082
BrnT family toxin CDS,SGL_RS06160,411,BrnT family toxin,sll1965
type II toxin-antitoxin system HicA family toxin CDS,SGL_RS18805,411,type II toxin-antitoxin system HicA family toxin,
atpC CDS,SGL_RS09710,411,ATP synthase F1 subunit epsilon,slr1330
hypothetical protein CDS,SGL_RS12110,411,hypothetical protein,slr0145
hypothetical protein CDS,SGL_RS12375,411,hypothetical protein,sll1851
chaperonin family protein RbcX CDS,SGL_RS13420,411,chaperonin family protein RbcX,slr0011
hypothetical protein CDS,SGL_RS14045,411,hypothetical protein,slr0476
transposase CDS,SGL_RS16265,>411,transposase,ssr1176
hypothetical protein CDS,SGL_RS17465,411,hypothetical protein,slr1568
winged helix-turn-helix transcriptional regulator CDS,SGL_RS04055,408,winged helix-turn-helix transcriptional regulator,sll1512
response regulator CDS,SGL_RS04585,408,response regulator,slr2041
hypothetical protein CDS,SGL_RS19850,408,hypothetical protein,
transposase CDS,SGL_RS11180,408,transposase,slr1682
psb27 CDS,SGL_RS11645,408,photosystem II protein Psb27,slr1645
SxtJ family membrane protein CDS,SGL_RS13215,408,SxtJ family membrane protein,slr0345
biopolymer transporter ExbD CDS,SGL_RS01995,405,biopolymer transporter ExbD,sll1405
LapA family protein CDS,SGL_RS03290,405,LapA family protein,sll1191
ferredoxin CDS,SGL_RS05195,405,ferredoxin,sll1584
grrA CDS,SGL_RS07625,405,GrrA/OscA1 family cyclophane-containing rSAM-modified RiPP,sll1763
YidH family protein CDS,SGL_RS08215,405,YidH family protein,sll0847
NIL domain-containing protein CDS,SGL_RS08535,405,NIL domain-containing protein,slr2059
hypothetical protein CDS,SGL_RS08925,405,hypothetical protein,slr0262
DUF2237 family protein CDS,SGL_RS11525,405,DUF2237 family protein,slr1628
CAAD domain-containing protein CDS,SGL_RS14075,405,CAAD domain-containing protein,slr0483
DUF2488 family protein CDS,SGL_RS02970,402,DUF2488 family protein,slr1780
rpsH CDS,SGL_RS05785,402,30S ribosomal protein S8,sll1809
fasciclin domain-containing protein CDS,SGL_RS06280,402,fasciclin domain-containing protein,sll1735
hypothetical protein CDS,SGL_RS19655,402,hypothetical protein,
DUF1824 family protein CDS,SGL_RS07040,402,DUF1824 family protein,slr1362
ubiquinol-cytochrome c reductase iron-sulfur subunit CDS,SGL_RS10620,402,ubiquinol-cytochrome c reductase iron-sulfur subunit,sll1182
rbfA CDS,SGL_RS13145,402,30S ribosome-binding factor RbfA,sll0754
type II toxin-antitoxin system VapC family toxin CDS,SGL_RS14145,402,type II toxin-antitoxin system VapC family toxin,sll0690
RidA family protein CDS,SGL_RS16000,402,RidA family protein,slr0318
ferredoxin CDS,SGL_RS16345,402,ferredoxin,sll0662
hypothetical protein CDS,SGL_RS18305,402,hypothetical protein,sll0565
DUF3119 family protein CDS,SGL_RS02370,399,DUF3119 family protein,slr0730
gcvH CDS,SGL_RS07170,399,glycine cleavage system protein GcvH,slr0879
DUF4253 domain-containing protein CDS,SGL_RS14250,399,DUF4253 domain-containing protein,sll0614
ziaR CDS,SGL_RS16095,399,Zn(II)-sensing metalloregulatory transcriptionalrepressor ZiaR,sll0792
hypothetical protein CDS,SGL_RS16550,399,hypothetical protein,slr0038
hypothetical protein CDS,SGL_RS02450,396,hypothetical protein,slr0740
psbU CDS,SGL_RS03265,396,photosystem II complex extrinsic protein PsbU,sll1194
response regulator CDS,SGL_RS04965,396,response regulator,slr1037
clan AA aspartic protease CDS,SGL_RS07275,396,clan AA aspartic protease,slr0890
PH domain-containing protein CDS,SGL_RS10505,396,PH domain-containing protein,slr1470
thioredoxin-dependent arsenate reductase CDS,SGL_RS11365,396,thioredoxin-dependent arsenate reductase,slr0946
gloA CDS,SGL_RS12955,396,lactoylglutathione lyase,slr0381
type II toxin-antitoxin system VapC family toxin CDS,SGL_RS16965,396,type II toxin-antitoxin system VapC family toxin,sll0525
hypothetical protein CDS,SGL_RS02395,393,hypothetical protein,sll0702
Na+/H+ antiporter subunit E CDS,SGL_RS05370,393,Na+/H+ antiporter subunit E,slr2010
rpsK CDS,SGL_RS05740,393,30S ribosomal protein S11,sll1817
DUF1823 family protein CDS,SGL_RS05870,393,DUF1823 family protein,slr1896
hypothetical protein CDS,SGL_RS06235,393,hypothetical protein,slr1826
RidA family protein CDS,SGL_RS16325,393,RidA family protein,slr0709
single-stranded DNA-binding protein CDS,SGL_RS04940,390,single-stranded DNA-binding protein,slr1034
DUF5615 family PIN-like protein CDS,SGL_RS06065,390,DUF5615 family PIN-like protein,slr1210
phosphomannose isomerase type II C-terminal cupin domain CDS,SGL_RS06150,390,phosphomannose isomerase type II C-terminal cupin domain,slr2074
AbrB family transcriptional regulator CDS,SGL_RS15210,390,AbrB family transcriptional regulator,sll0822
queD CDS,SGL_RS15290,390,6-carboxytetrahydropterin synthase QueD,slr0078
hypothetical protein CDS,SGL_RS18335,390,hypothetical protein,slr0602
cyclic nucleotide-binding domain-containing protein CDS,SGL_RS18370,390,cyclic nucleotide-binding domain-containing protein,slr0607
VOC family protein CDS,SGL_RS03165,387,VOC family protein,sll1658
hypothetical protein CDS,SGL_RS04975,387,hypothetical protein,sll0982
hypothetical protein CDS,SGL_RS05495,387,hypothetical protein,sll1911
rplL CDS,SGL_RS06195,387,50S ribosomal protein L7/L12,sll1746
cytochrome c CDS,SGL_RS10145,387,cytochrome c,sll1245
type II toxin-antitoxin system VapC family toxin CDS,SGL_RS11010,387,type II toxin-antitoxin system VapC family toxin,sll1092
hypothetical protein CDS,SGL_RS11400,387,hypothetical protein,sll0911
DUF309 domain-containing protein CDS,SGL_RS11570,387,DUF309 domain-containing protein,
phosphomannose isomerase type II C-terminal cupin domain CDS,SGL_RS14110,387,phosphomannose isomerase type II C-terminal cupin domain,slr0493
hypothetical protein CDS,SGL_RS14995,387,hypothetical protein,slr0572
DUF1257 domain-containing protein CDS,SGL_RS16350,387,DUF1257 domain-containing protein,sll0661
hypothetical protein CDS,SGL_RS18330,387,hypothetical protein,slr0601
TM2 domain-containing protein CDS,SGL_RS04765,384,TM2 domain-containing protein,sll1834
rpsM CDS,SGL_RS05745,384,30S ribosomal protein S13,sll1816
hypothetical protein CDS,SGL_RS06275,384,hypothetical protein,sll1736
hypothetical protein CDS,SGL_RS07295,384,hypothetical protein,sll0863
KGK domain-containing protein CDS,SGL_RS08300,384,KGK domain-containing protein,slr0871
patD CDS,SGL_RS09655,384,heterocyst frequency control protein PatD,sll1236
DUF29 domain-containing protein CDS,SGL_RS19910,384,DUF29 domain-containing protein,
aroH CDS,SGL_RS15675,384,chorismate mutase,sll0109
PIN domain-containing protein CDS,SGL_RS16020,384,PIN domain-containing protein,
DUF4346 domain-containing protein CDS,SGL_RS17220,384,DUF4346 domain-containing protein,slr0651
IS1 family transposase CDS,SGL_RS04950,>382,IS1 family transposase,sll0986
transposase CDS,SGL_RS18885,>382,transposase,
hypothetical protein CDS,SGL_RS02800,381,hypothetical protein,slr1100
hypothetical protein CDS,SGL_RS07895,381,hypothetical protein,sll1698
DUF4359 domain-containing protein CDS,SGL_RS10790,381,DUF4359 domain-containing protein,sll1447
rpsL CDS,SGL_RS10940,381,30S ribosomal protein S12,sll1096
hypothetical protein CDS,SGL_RS12920,381,hypothetical protein,slr0373
petE CDS,SGL_RS13610,381,plastocyanin,sll0199
hypothetical protein CDS,SGL_RS15055,381,hypothetical protein,slr0582
hypothetical protein CDS,SGL_RS02165,378,hypothetical protein,sll1062
DUF1622 domain-containing protein CDS,SGL_RS03405,378,DUF1622 domain-containing protein,sll0939
hypothetical protein CDS,SGL_RS04095,378,hypothetical protein,slr1601
type II toxin-antitoxin system VapC family toxin CDS,SGL_RS13570,378,type II toxin-antitoxin system VapC family toxin,sll0205
DUF4189 domain-containing protein CDS,SGL_RS16195,378,DUF4189 domain-containing protein,sll0775
DUF1636 family protein CDS,SGL_RS02040,375,DUF1636 family protein,slr1493
sulfite exporter TauE/SafE family protein CDS,SGL_RS02255,375,sulfite exporter TauE/SafE family protein,sll1052
DUF1818 family protein CDS,SGL_RS02580,375,DUF1818 family protein,slr0249
"putative toxin-antitoxin system toxin component,PIN family CDS",SGL_RS05485,375,"putative toxin-antitoxin system toxin component,PIN family",sll1912
group 1 truncated hemoglobin CDS,SGL_RS09185,375,group 1 truncated hemoglobin,slr2097
rnpA CDS,SGL_RS10500,375,ribonuclease P protein component,slr1469
rplU CDS,SGL_RS11125,375,50S ribosomal protein L21,slr1678
hypothetical protein CDS,SGL_RS11550,375,hypothetical protein,slr1634
hypothetical protein CDS,SGL_RS11965,375,hypothetical protein,slr0392
M23 family metallopeptidase CDS,SGL_RS20040,>375,M23 family metallopeptidase,
response regulator CDS,SGL_RS10410,372,response regulator,slr1982
YkgJ family cysteine cluster protein CDS,SGL_RS16455,372,YkgJ family cysteine cluster protein,slr0022
rplN CDS,SGL_RS05800,369,50S ribosomal protein L14,sll1806
psb28 CDS,SGL_RS08090,369,photosystem II reaction center protein Psb28,slr1739
hypothetical protein CDS,SGL_RS08160,369,hypothetical protein,sll0857
2Fe-2S iron-sulfur cluster-binding protein CDS,SGL_RS10530,369,2Fe-2S iron-sulfur cluster-binding protein,sll1382
MTH1187 family thiamine-binding protein CDS,SGL_RS02530,366,MTH1187 family thiamine-binding protein,sll0230
response regulator CDS,SGL_RS04200,366,response regulator,slr1042
response regulator CDS,SGL_RS05090,366,response regulator,sll1292
rplV CDS,SGL_RS05825,366,50S ribosomal protein L22,sll1803
DUF3007 family protein CDS,SGL_RS09890,366,DUF3007 family protein,slr0815
hypothetical protein CDS,SGL_RS10395,366,hypothetical protein,sll1873
NAD(P)H-quinone oxidoreductase subunit M CDS,SGL_RS11490,366,NAD(P)H-quinone oxidoreductase subunit M,slr1623
HNH endonuclease CDS,SGL_RS11970,366,HNH endonuclease,slr0393
hypothetical protein CDS,SGL_RS19000,366,hypothetical protein,
DUF3593 domain-containing protein CDS,SGL_RS14305,366,DUF3593 domain-containing protein,sll0609
single-stranded DNA-binding protein CDS,SGL_RS16810,366,single-stranded DNA-binding protein,slr0925
hypA CDS,SGL_RS05585,363,hydrogenase maturation nickel metallochaperone HypA,sll1078
rplR CDS,SGL_RS05775,363,50S ribosomal protein L18,sll1811
c-type cytochrome CDS,SGL_RS05875,363,c-type cytochrome,sll1796
rplS CDS,SGL_RS06230,363,50S ribosomal protein L19,sll1740
KGK domain-containing protein CDS,SGL_RS08295,363,KGK domain-containing protein,slr0870
ndhC CDS,SGL_RS10725,363,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit C,slr1279
hypothetical protein CDS,SGL_RS14590,363,hypothetical protein,slr0196
HPP family protein CDS,SGL_RS16040,363,HPP family protein,slr0789
type II toxin-antitoxin system RelE/ParE family toxin CDS,SGL_RS17355,363,type II toxin-antitoxin system RelE/ParE family toxin,slr0664
DUF1815 family protein CDS,SGL_RS17575,363,DUF1815 family protein,slr1583
IS630 transposase-related protein CDS,SGL_RS19745,360,IS630 transposase-related protein,
IS630 transposase-related protein CDS,SGL_RS19780,360,IS630 transposase-related protein,
DUF4870 domain-containing protein CDS,SGL_RS03915,360,DUF4870 domain-containing protein,slr0686
IS630 transposase-related protein CDS,SGL_RS19835,360,IS630 transposase-related protein,
IS630 transposase-related protein CDS,SGL_RS19855,360,IS630 transposase-related protein,
IS630 transposase-related protein CDS,SGL_RS19860,360,IS630 transposase-related protein,
IS630 transposase-related protein CDS,SGL_RS19865,360,IS630 transposase-related protein,
